,n_neurons,n_filters,n_layers,data_size,min_delta,score,accuracy_best,accuracy_last,epochs
77,22043,7,2,2640,9.550996067320652e-05,0.5348608493804932,0.7177866101264954,0.7177866101264954,22
78,16500,6,1,55974,3.894524607879444e-06,0.5540846586227417,0.6985733509063721,0.6985733509063721,5
79,6,26,1,525,1.1494089835286781e-05,0.5615221858024597,0.7000800967216492,0.7000800967216492,89
80,271,5,1,19159,0.00356032986773897,0.5767048597335815,0.6744532585144043,0.6744532585144043,8
81,1188,5,1,45548,3.4654466993605147e-05,0.5777055025100708,0.6721601486206055,0.6721601486206055,17
82,11,6305,3,815,0.09881894182053826,0.5787975788116455,0.6887733340263367,0.6887733340263367,5
83,236,4,3,34061,0.00041424862579236913,0.6006919145584106,0.6472400426864624,0.6472400426864624,6
84,4,7,2,47582,0.00038062392860257707,0.6007376909255981,0.6491866707801819,0.6491866707801819,6
85,4,31,2,13887,0.022760299540796967,0.6030601859092712,0.6571199893951416,0.6571199893951416,5
86,132,4,3,4883,5.5370676758798626e-05,0.6046109199523926,0.6497601866722107,0.6497601866722107,24
87,6,6,2,1086,0.00947175663140843,0.6075375080108643,0.6564934253692627,0.6564934253692627,24
88,5500,3,1,22378,1.4531301925974294e-06,0.6237909197807312,0.6228266358375549,0.6228266358375549,21
89,3,22,2,46927,0.017666544681931243,0.6238244771957397,0.6182933449745178,0.6182933449745178,5
90,3,102,1,56212,0.001371192741608528,0.6248113512992859,0.6205999851226807,0.6205999851226807,7
91,11660,3,1,83157,1.2502682109588513e-06,0.624944269657135,0.6160001158714294,0.6160001158714294,4
92,3,188,2,83907,4.001096839426687e-05,0.6262946724891663,0.6159332394599915,0.6159332394599915,4
93,3,642,1,6966,0.00011869350165655822,0.6268484592437744,0.6201867461204529,0.6201867461204529,37
94,52,3,1,1263,1.322531530580178e-06,0.6278220415115356,0.6334534287452698,0.6334534287452698,21
95,16550,3,1,796,0.0014109376040733917,0.6312307715415955,0.6305465698242188,0.6305465698242188,18
96,3,412,3,2622,0.0291587919890593,0.6360282897949219,0.6266800165176392,0.6266800165176392,5
97,2,177,3,64639,2.4623089207992557e-05,0.6480074524879456,0.5887866616249084,0.5887866616249084,16
98,5846,2,1,16363,0.02938206318551478,0.6489477753639221,0.5854399800300598,0.5854399800300598,5
99,68,2,1,52188,9.377310587869581e-05,0.6490464806556702,0.5865333080291748,0.5865333080291748,11
100,3,15,3,6529,0.00021131432061950733,0.6491286754608154,0.5977999567985535,0.5977999567985535,19
101,515,2,3,27704,0.00036966137380769007,0.6496706008911133,0.57889324426651,0.57889324426651,6
102,2,3,3,6324,0.011229005621866713,0.6501139402389526,0.6061066389083862,0.6061066389083862,8
103,193,2,3,1403,0.0021180901380965147,0.65095055103302,0.6064931750297546,0.6064931750297546,12
104,2,4494,1,5797,0.021245206273422388,0.6511168479919434,0.6057332158088684,0.6057332158088684,5
105,16686,2,2,10783,2.3652335575218014e-06,0.6511749625205994,0.6054931879043579,0.6054931879043579,1
106,34,2,1,10174,0.08945160882007293,0.6513118743896484,0.5989066362380981,0.5989066362380981,5
107,2665,2,1,1642,0.0012867208531931538,0.6513514518737793,0.6047334671020508,0.6047334671020508,10
108,2,2,2,1026,3.293662162681779e-05,0.6514408588409424,0.6041600704193115,0.6041600704193115,105
109,97,3,2,619,0.067962931894156,0.652381956577301,0.607200026512146,0.607200026512146,5
110,2074,2,2,874,8.263756674273812e-06,0.6535763144493103,0.6008133292198181,0.6008133292198181,15
111,1,7532,3,60626,0.05155008944468412,0.670865535736084,0.5539732575416565,0.5539732575416565,5
112,1,7489,3,43714,0.00044066176673798166,0.671384871006012,0.5549333095550537,0.5549333095550537,8
113,1,669,3,26768,0.007885611971761642,0.6715250015258789,0.5584666132926941,0.5584666132926941,5
114,1,2,3,2217,2.8795950596431723e-06,0.6715822219848633,0.5617865920066833,0.5617865920066833,70
115,1,23,3,2841,0.002543624047960009,0.672671914100647,0.5634799003601074,0.5634799003601074,9
116,1,1166,3,17003,0.0008592198489905912,0.6727707386016846,0.5637333393096924,0.5637333393096924,1
117,1,8,1,1625,1.6706569483977083e-06,0.6730432510375977,0.5642800331115723,0.5642800331115723,44
118,1,28,1,704,2.591263245331066e-05,0.6733584403991699,0.5608265995979309,0.5608265995979309,55
119,1,30,1,616,2.576152855895808e-06,0.6735740303993225,0.5601065754890442,0.5601065754890442,49
